x, sol1, sol2
0, 480.473, 58.4487
3.9996e-06, 480.47, 58.4457
7.9992e-06, 480.467, 58.4426
1.19988e-05, 480.464, 58.4396
1.59984e-05, 480.461, 58.4365
1.9998e-05, 480.458, 58.4335
2.39976e-05, 480.455, 58.4305
2.79972e-05, 480.452, 58.4274
3.19968e-05, 480.449, 58.4244
3.59964e-05, 480.446, 58.4213
3.9996e-05, 480.443, 58.4183
4.39956e-05, 480.44, 58.4152
4.79952e-05, 480.437, 58.4122
5.19948e-05, 480.434, 58.4091
5.59944e-05, 480.431, 58.4061
5.9994e-05, 480.428, 58.4031
6.39936e-05, 480.425, 58.4
6.79932e-05, 480.422, 58.397
7.19928e-05, 480.419, 58.3939
7.59924e-05, 480.416, 58.3909
7.9992e-05, 480.413, 58.3879
8.39916e-05, 480.41, 58.3848
8.79912e-05, 480.407, 58.3818
9.19908e-05, 480.404, 58.3787
9.59904e-05, 480.401, 58.3757
9.999e-05, 480.398, 58.3727
0.00010399, 480.395, 58.3696
0.000107989, 480.392, 58.3666
0.000111989, 480.389, 58.3635
0.000115988, 480.387, 58.3605
0.000119988, 480.384, 58.3575
0.000123988, 480.381, 58.3544
0.000127987, 480.378, 58.3514
0.000131987, 480.375, 58.3484
0.000135986, 480.372, 58.3453
0.000139986, 480.369, 58.3423
0.000143986, 480.366, 58.3393
0.000147985, 480.363, 58.3362
0.000151985, 480.361, 58.3332
0.000155984, 480.358, 58.3302
0.000159984, 480.355, 58.3271
0.000163984, 480.352, 58.3241
0.000167983, 480.349, 58.3211
0.000171983, 480.346, 58.318
0.000175982, 480.343, 58.315
0.000179982, 480.341, 58.312
0.000183982, 480.338, 58.3089
0.000187981, 480.335, 58.3059
0.000191981, 480.332, 58.3029
0.00019598, 480.329, 58.2998
0.00019998, 480.326, 58.2968
0.00020398, 480.324, 58.2938
0.000207979, 480.321, 58.2908
0.000211979, 480.318, 58.2877
0.000215978, 480.315, 58.2847
0.000219978, 480.312, 58.2817
0.000223978, 480.31, 58.2787
0.000227977, 480.307, 58.2756
0.000231977, 480.304, 58.2726
0.000235976, 480.301, 58.2696
0.000239976, 480.299, 58.2666
0.000243976, 480.296, 58.2635
0.000247975, 480.293, 58.2605
0.000251975, 480.29, 58.2575
0.000255974, 480.288, 58.2545
0.000259974, 480.285, 58.2514
0.000263974, 480.282, 58.2484
0.000267973, 480.279, 58.2454
0.000271973, 480.277, 58.2424
0.000275972, 480.274, 58.2394
0.000279972, 480.271, 58.2363
0.000283972, 480.269, 58.2333
0.000287971, 480.266, 58.2303
0.000291971, 480.263, 58.2273
0.00029597, 480.26, 58.2243
0.00029997, 480.258, 58.2212
0.00030397, 480.255, 58.2182
0.000307969, 480.252, 58.2152
0.000311969, 480.25, 58.2122
0.000315968, 480.247, 58.2092
0.000319968, 480.244, 58.2062
0.000323968, 480.242, 58.2031
0.000327967, 480.239, 58.2001
0.000331967, 480.236, 58.1971
0.000335966, 480.234, 58.1941
0.000339966, 480.231, 58.1911
0.000343966, 480.228, 58.1881
0.000347965, 480.226, 58.1851
0.000351965, 480.223, 58.182
0.000355964, 480.221, 58.179
0.000359964, 480.218, 58.176
0.000363964, 480.215, 58.173
0.000367963, 480.213, 58.17
0.000371963, 480.21, 58.167
0.000375962, 480.208, 58.164
0.000379962, 480.205, 58.161
0.000383962, 480.202, 58.1579
0.000387961, 480.2, 58.1549
0.000391961, 480.197, 58.1519
0.00039596, 480.195, 58.1489
0.00039996, 480.192, 58.1459
0.00040396, 480.19, 58.1429
0.000407959, 480.187, 58.1399
0.000411959, 480.184, 58.1369
0.000415958, 480.182, 58.1339
0.000419958, 480.179, 58.1309
0.000423958, 480.177, 58.1279
0.000427957, 480.174, 58.1249
0.000431957, 480.172, 58.1219
0.000435956, 480.169, 58.1189
0.000439956, 480.167, 58.1158
0.000443956, 480.164, 58.1128
0.000447955, 480.162, 58.1098
0.000451955, 480.159, 58.1068
0.000455954, 480.157, 58.1038
0.000459954, 480.154, 58.1008
0.000463954, 480.152, 58.0978
0.000467953, 480.149, 58.0948
0.000471953, 480.147, 58.0918
0.000475952, 480.144, 58.0888
0.000479952, 480.142, 58.0858
0.000483952, 480.139, 58.0828
0.000487951, 480.137, 58.0798
0.000491951, 480.134, 58.0768
0.00049595, 480.132, 58.0738
0.00049995, 480.129, 58.0708
0.00050395, 480.127, 58.0678
0.000507949, 480.125, 58.0648
0.000511949, 480.122, 58.0618
0.000515948, 480.12, 58.0588
